Label,Area,Mean,Perim,Circ,AR,Round,Solidity,type
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3226,164.3137,225.12007,0.79992,1.48985,0.67121,0.93291,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2926,163.81408,258.05819,0.55214,2.05555,0.48649,0.83172,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3151,157.64075,301.83482,0.43463,1.43342,0.69763,0.68717,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",5303,162.50707,278.66032,0.85819,1.32425,0.75514,0.95567,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3313,164.5741,240.22779,0.72141,1.12018,0.89271,0.90088,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3749,163.49747,263.68478,0.67757,1.98786,0.50305,0.87563,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",4020,161.96244,247.27147,0.82621,1.42608,0.70122,0.94035,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2165,164.64157,208.47564,0.62598,1.34388,0.74411,0.81056,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3007,161.58164,242.74752,0.64126,1.37562,0.72694,0.87046,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",6500,157.52985,310.49973,0.84723,1.18531,0.84366,0.95085,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2370,154.97384,213.99051,0.65038,1.78421,0.56047,0.87697,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2525,160.32832,222.52529,0.64079,1.75673,0.56924,0.8841,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2722,147.91256,205.78304,0.80775,1.20636,0.82894,0.92774,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1635,152.2104,238.67265,0.36068,3.8043,0.26286,0.70277,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2772,145.95418,204.77803,0.83069,1.39389,0.71742,0.94688,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1871,149.68787,283.3536,0.29284,1.56549,0.63878,0.53305,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2991,151.71515,228.1782,0.7219,1.98301,0.50428,0.913,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2722,161.54115,226.81543,0.66489,1.82193,0.54887,0.85571,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1749,147.67181,166.00357,0.79756,1.30273,0.76762,0.92004,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3117,154.15111,239.96848,0.6802,1.99564,0.50109,0.90742,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",4327,159.76404,272.71415,0.73111,1.2084,0.82754,0.90005,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1301,143.48501,152.62022,0.70188,1.13867,0.87821,0.87787,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2527,154.41512,212.30088,0.70455,1.57406,0.6353,0.90997,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1501,150.89207,209.41087,0.43012,1.79812,0.55614,0.75408,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",9231,165.60199,391.3163,0.75754,1.59499,0.62696,0.90456,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2272,154.9956,233.78976,0.52236,1.6065,0.62247,0.79733,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3782,150.48837,256.61368,0.72173,1.41767,0.70538,0.90717,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1336,157.22231,140.98611,0.84462,1.22044,0.81938,0.93787,LN229
